学校名称,是否填写,是否可修改,填报时间,填报账号/手机号,对应学院/项目,网站状态,最早截止,填报入口,备注
南方科技大学,☐ 否,待确认,,,计算机科学与工程系,已截止,2026-08-31,https://cse.sustech.edu.cn/graduate/3775.html,官方计算机系通知明确计算机大类含计算机科学与技术、软件工程、网安、人工智能、智能科学与技术；作为强计算机/AI补充项列入双一流补充。
南京大学,☐ 否,待确认,,,软件学院；智能软件与工程学院,待复核,,https://gs.nju.edu.cn/geapp/sys/yjsbmxsd/entrance.do,苏州校区智能软件与工程学院单独发布通知，适合软件/AI方向补充关注。
南京航空航天大学,☐ 否,待确认,,,计算机科学与技术学院/人工智能学院等,正在报名,2026-09-15,http://yzsbm.nuaa.edu.cn/logon,校级系统已开，需重点查计算机学院是否有早截止。
南京理工大学,☐ 否,待确认,,,计算机科学与工程学院（人工智能学院、软件学院）,已截止,2026-09-01,http://202.119.85.163/Open/RecruitTkssTmYbm/signin.aspx,2027计算机学院具体内容目前主要通过学校预推免入口和聚合线索定位，填报前务必复核学院原文。
南开大学,☐ 否,待确认,,,计算机学院、密码与网络空间安全学院；软件学院,正在报名,2026-09-01,https://yzxt.nankai.edu.cn/intern/frontend/web/,官方学院通知明确报名至2026-09-12；要求先联系导师/实验室，别只填系统。
清华大学,☐ 否,待确认,,,研究生院/计算机科学与技术系/深圳国际研究生院,已截止,2026-07-28,https://yzbm.tsinghua.edu.cn,已截止。清华 CS 系主要看到直博简章，硕士方向以系统和目录为准。
厦门大学,☐ 否,待确认,,,信息学院（特色化示范性软件学院）,已截止,2026-07-07,https://ssyjsbm.xmu.edu.cn/,已截止，但材料要求很完整，可作为其他学校材料准备模板。
山东大学,☐ 否,待确认,,,计算机科学与技术学院、软件学院、人工智能学院等,待复核,,https://yanzhao.sdu.edu.cn,校级系统 2026-09-01 09:00 开放；每名考生最多选择三个招生单位，每个招生单位一个专业，报名期内可修改后重新提交。
上海大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
上海交通大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
四川大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
苏州大学,☐ 否,待确认,,,计算机科学与技术学院,已截止,2026-08-28,http://gsas.yjs.suda.edu.cn/logon,学院官方通知明确系统暂定开放 2026-08-15 至 2026-08-28；已截止，但考核安排和“不可修改”很关键。
天津大学,☐ 否,待确认,,,智能与计算学部等计算机相关单位,正在报名,2026-09-20,https://sszs.tju.edu.cn/10056/user/login/login,学校系统已开，智能与计算学部细则需在学院网站继续看。
同济大学,☐ 否,待确认,,,计算机科学与技术学院（软件学院）,已截止,2026-08-25,https://yzbm.tongji.edu.cn,研招网汇总明确该学院截止 2026-08-25 12:00。
武汉大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
武汉理工大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
西安电子科技大学,☐ 否,待确认,,,计算机科学与技术学院（国家示范性软件学院）；人工智能学院,正在报名,2026-09-10,https://yjspt.xidian.edu.cn/gsapp/sys/wdyjsbm/entrance.do,学院官方2027推荐免试研究生招生预报名通知；仅可选择一个学院预报名，正式录取仍须通过中国研招网推免服务系统。
西安交通大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
西北工业大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
西北农林科技大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
西南财经大学,☐ 否,待确认,,,计算机与人工智能学院,已截止,2026-08-31,https://yz.swufe.edu.cn,中上游211补充项，学院官方明确计算机科学与技术和电子信息两个专业，报名期至2026-08-31。
西南交通大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
浙江大学,☐ 否,待确认,,,计算机科学与技术学院；人工智能学院,正在报名,2026-09-10,https://yjsy.zju.edu.cn/grsinfo/zs/user/login,学院官方通知明确 2026-08-10 09:00 至 2026-09-10 24:00；每人只能填报一个志愿，计算机背景报AI方向可重点看。
郑州大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
中国海洋大学,☐ 否,待确认,,,信息科学与工程学部等计算机相关单位,正在报名,2026-09-14,https://stuouc.molstone.cn,研招办官方通知明确预报名 2026-07-23 至 2026-09-14 17:00；硕士报名和直博报名最多可分别填三个不同志愿。
中国科学技术大学,☐ 否,待确认,,,计算机科学与技术学院；网络空间安全学院；人工智能与数据科学学院,正在报名,2026-09-09,https://xspt.ustc.edu.cn/,8月31日最新官方预面试报名通知，9月9日截止；这是当前最值得优先看的中科大AI/数据方向入口。
中国矿业大学,☐ 否,待确认,,,计算机科学与技术学院、人工智能相关专项等,正在报名,2026-09-18,https://yzs.cumt.edu.cn/yzbm/logon,学校官方预报名系统 2026-08-20 至 2026-09-18 17:00 开放；人工智能拔尖创新人才专项可在系统中选择。
中国农业大学,☐ 否,待确认,,,信息与电气工程学院等计算机/人工智能相关单位,已截止,2026-08-31,https://yzk.cau.edu.cn,研招办发布2027各院系接收推免工作实施细则汇总，信息与电气工程学院在汇总列表中；学院原文需继续复核。
中国人民大学,☐ 否,待确认,,,高瓴人工智能学院,已截止,2026-07-14,http://yjsfs.ruc.edu.cn/tp/zs/login/toLogin/tm,官方学院通知明确2027年推免生接收报名；已截止，但AI方向和材料要求值得参考。
中南大学,☐ 否,待确认,,,计算机学院/自动化学院/大数据研究院等计算机相关单位,待复核,,https://yjszsgl.csu.edu.cn/zsgl/tmsgl/default.aspx,校级官方预报名8月28日开始，各二级单位截止时间不同；填计算机类前必须再看对应学院通知。
中山大学,☐ 否,待确认,,,计算机学院；网络空间安全学院,已截止,2026-08-12,https://enroll.sysu.edu.cn/,要求具体，动作多，建议尽早准备视频和测评。
中央民族大学,☐ 否,待确认,,,信息工程学院,已截止,2026-08-18,https://yjszs.muc.edu.cn,学院官方通知明确 2026-08-01 00:00 至 2026-08-18 17:00，已截止；复试时间和材料要求完整保留。
